"","Word","SocPhys.Mean","SocPhys.SD","V.Mean.Sum","V.SD.Sum","SUBTLWF","Valence","Concreteness","word_length"
"152","inexpensive",3.63636363636364,1.6292775867069,7.63,1.46,0.73,"positive","neutral",11
"153","infectious",3.4,1.94935886896179,2.63,1.86,1.27,"negative","neutral",10
"154","infuriating",6.27272727272727,1.00904995821903,2.63,1.21,0.49,"negative","neutral",11
"155","inoperable",2.475,1.48475155480208,2.5,1.67,0.65,"negative","neutral",10
"156","insecure",6,1.22474487139159,2.3,1.44,4.06,"negative","abstract",8
"157","insulting",6.8,0.447213595499958,1.89,0.94,5.37,"negative","neutral",9
"158","intellectual",4.8,1.30384048104053,7.65,1.69,4.59,"positive","abstract",12
"159","intelligent",6.36363636363636,1.02691063610494,7.6,1.35,13.51,"positive","neutral",11
"160","irresponsible",6.3,1.18104690629619,2.5,1.4,4.65,"negative","neutral",13
"161","irritable",6.25,1.18321595661992,2.85,0.93,1.45,"negative","neutral",9
"162","irritating",5,2.36643191323985,2.63,1.42,2.18,"negative","neutral",10
"163","itchy",1.75,1.48064435037847,2.53,1.43,2.27,"negative","neutral",5
"164","joyful",6.54545454545455,0.934198732993827,8.21,0.98,1.49,"positive","neutral",6
"165","joyous",6.5,0.894427190999916,7.45,1.82,1.35,"positive","neutral",6
"166","knowledgeable",6.6,0.547722557505166,7.95,1.12,0.78,"positive","abstract",13
"167","lethal",3.31818181818182,2.1687469201046,2.48,1.47,5.67,"negative","neutral",6
"168","liberating",5.625,1.20415945787923,7.75,1.45,0.96,"positive","abstract",10
"169","lifeless",2,1.4142135623731,2.24,1.61,1.25,"negative","neutral",8
"170","lively",5.36363636363636,2.24823162831267,7.12,1.36,4.06,"positive","neutral",6
"171","lovable",6.09090909090909,1.87487373312218,8.26,0.99,1.78,"positive","abstract",7
"172","loveless",6,1,2.59,1.89,0.45,"negative","abstract",8
"173","loyal",6.85714285714286,0.377964473009227,7.31,1.33,12,"positive","abstract",5
"174","luxurious",3.275,1.92137103826061,7.58,1.95,1.12,"positive","neutral",9
"175","magical",4.2,0.447213595499958,8.23,0.97,9.1,"positive","neutral",7
"176","malicious",6,1.22474487139159,2.32,1.42,1.57,"negative","neutral",9
"177","meaningless",6,1.73205080756888,2.95,1.39,4.86,"negative","abstract",11
"178","moldy",1.85714285714286,2.26778683805536,1.95,0.94,0.59,"negative","neutral",5
"179","motherless",5,2.16024689946929,1.9,1.48,0.57,"negative","neutral",10
"180","motherly",5.8,1.30384048104053,7.67,1.75,0.45,"positive","neutral",8
"181","murderous",5.2,2.05314018405578,2.05,1.67,1.82,"negative","neutral",9
"182","musical",4.175,2.13502537065332,7.68,1.21,13.16,"positive","neutral",7
"183","nauseating",4.54545454545455,2.76996882161646,2.73,1.45,0.59,"negative","neutral",10
"184","nauseous",2.8,2.16794833886788,1.95,1.85,3.1,"negative","neutral",8
"185","needy",5.8,1.6431676725155,2.9,1.29,3.04,"negative","neutral",5
"186","negligent",5.77272727272727,1.9255628288353,2.05,1.28,1,"negative","abstract",9
"187","newborn",2.25,1.73205080756888,7.48,1.69,2.51,"positive","concrete",7
"188","nutritious",2.25,1.34164078649987,7.09,1.44,0.88,"positive","neutral",10
"189","obese",1.57142857142857,1.51185789203691,2.32,1.25,0.49,"negative","neutral",5
"190","oceanic",2.27272727272727,1.60895760936843,7.45,1.26,0.61,"positive","neutral",7
"191","optimistic",5,2.54950975679639,7.45,1.71,3.39,"positive","abstract",10
"192","optimum",3.9,1.25677650339556,7.38,1.77,0.65,"positive","abstract",7
"193","orphaned",5.57142857142857,1.51185789203691,2.55,1.61,0.39,"negative","neutral",8
"194","overcrowded",2.4375,1.75,2.55,1.53,0.45,"negative","neutral",11
"195","overworked",4,2.6903708365382,1.9,1.04,0.98,"negative","neutral",10
"196","painless",3.525,2.14819542633895,7.4,1.7,1.94,"positive","neutral",8
"197","parasitic",3.2,1.30384048104053,1.95,1.03,0.47,"negative","neutral",9
"198","pathological",5.4375,2.18993911635309,2.71,1.45,1.47,"negative","abstract",12
"199","peaceful",5.875,1.25830573921179,8,1.78,11.24,"positive","neutral",8
"200","penniless",4,2.21880078490092,2.55,1.1,1.24,"negative","neutral",9
"201","pitiful",6.14285714285714,1.4638501094228,2.89,1.24,3.84,"negative","abstract",7
"202","playful",5.09090909090909,2.36862610185517,7.63,1.21,1.16,"positive","neutral",7
"203","pleasant",5.42857142857143,1.39727626201154,7.24,1.51,21.02,"positive","abstract",8
"204","pleasing",5.75,1.18321595661992,7.65,1.09,1.55,"positive","neutral",8
"205","pleasurable",3.4,2.30217288664427,7.75,1.12,0.75,"positive","neutral",11
"206","poisonous",2.8,1.30384048104053,2.52,1.66,3.33,"negative","neutral",9
"207","prejudiced",6.2,1.30384048104053,2.7,1.26,1.86,"negative","neutral",10
"208","problematic",5,1.4142135623731,2.58,1.22,0.94,"negative","neutral",11
"209","productive",4.85714285714286,1.86445447147161,7.37,1.07,2.41,"positive","neutral",10
"210","rabid",2.6,1.51657508881031,2.95,1.36,1.37,"negative","neutral",5
"211","racist",6.63636363636364,0.924416277737175,2.05,1.69,4.82,"negative","neutral",6
"212","radiant",2.71428571428571,1.38013111868471,7.29,1.31,2.16,"positive","neutral",7
"213","rancid",1.8125,1.10867789130417,2.38,1.72,0.49,"negative","neutral",6
"214","ravishing",4,2.54950975679639,7.41,1.53,1.55,"positive","neutral",9
"215","refreshing",2.85714285714286,1.21498579258791,7.05,1.53,3.67,"positive","neutral",10
"216","relaxing",4.4375,2.12818388929779,8.19,0.93,3.61,"positive","neutral",8
"217","reliable",6.2,0.836660026534076,7.3,1.34,5.9,"positive","abstract",8
"218","repulsive",4.875,1.40830867828517,1.95,1.2,2.02,"negative","neutral",9
"219","resourceful",5.2,1.30384048104053,7.25,1.29,1.45,"positive","abstract",11
"220","respectful",6.59090909090909,1.33306274310562,7.45,1.26,1.9,"positive","neutral",10
"221","retarded",5.125,1.70782512765993,2.25,1.55,6.24,"negative","neutral",8
"222","revolting",4.27272727272727,2.19503572139084,2.47,1.9,1.92,"negative","neutral",9
"223","sadistic",4.4,2.30217288664427,2.62,1.94,1.71,"negative","neutral",8
"224","saggy",1.125,0.341565025531987,2.62,1.43,0.57,"negative","neutral",5
"225","satanic",5,1.4142135623731,1.94,1.39,1.35,"negative","neutral",7
"226","satisfied",5.68181818181818,1.72892379507527,7.16,1.26,15.51,"positive","neutral",9
"227","satisfying",5.2,1.30384048104053,7.48,1.78,2.53,"positive","neutral",10
"228","scornful",5.875,1.81429508808977,2.5,1.15,0.08,"negative","neutral",8
"229","scrumptious",2.71428571428571,1.38013111868471,7.2,1.32,0.75,"positive","neutral",11
"230","seasick",2.75,1.98390963400489,1.89,1.29,1.37,"negative","neutral",7
"231","seasoned",3.68181818181818,1.96120380030234,7.16,1.42,0.98,"positive","neutral",8
"232","selfless",6.8,0.447213595499958,7.11,1.49,1.82,"positive","abstract",8
"233","sensual",5.6,1.51657508881031,7.4,2.06,1.51,"positive","neutral",7
"234","sickening",3.27272727272727,2.00454030096225,2.53,1.58,0.9,"negative","neutral",9
"235","sinister",6,1.34164078649987,2.63,1.57,2.18,"negative","neutral",8
