,Word,ConcValCombo_moderate,ConcValCombo_extreme,V.Mean.Sum,Conc.M
957,navigate,neutral-neutral,neutral-neutral,5.05,2.68
958,need,abstract-neutral,neutral-neutral,5.45,1.69
959,neglect,neutral-negative,neutral-neutral,2.16,2.26
960,negotiate,abstract-neutral,neutral-neutral,5.57,2.0
961,neutralize,neutral-neutral,neutral-neutral,5.19,2.28
962,newt,concrete-neutral,neutral-neutral,4.65,4.17
963,nibble,neutral-positive,neutral-neutral,6.3,3.72
964,nix,abstract-negative,neutral-neutral,4.0,1.82
965,nod,concrete-neutral,concrete-neutral,5.05,4.62
966,nominate,neutral-neutral,neutral-neutral,5.86,2.96
967,nonfat,neutral-neutral,neutral-neutral,5.74,3.11
968,notice,neutral-neutral,neutral-neutral,5.94,3.3
969,notify,neutral-neutral,neutral-neutral,4.9,3.04
970,nourish,neutral-positive,neutral-positive,7.5,2.26
971,numbskull,neutral-negative,neutral-neutral,3.65,2.08
972,nurture,neutral-positive,neutral-positive,7.14,2.24
973,obey,neutral-neutral,neutral-neutral,5.13,2.67
974,oblige,abstract-neutral,neutral-neutral,5.19,1.73
975,observe,neutral-neutral,neutral-neutral,5.3,2.63
976,obsess,neutral-negative,neutral-neutral,3.23,2.14
977,obstruct,neutral-negative,neutral-neutral,3.61,2.46
978,obtain,neutral-neutral,neutral-neutral,5.11,3.0
979,occupy,neutral-neutral,neutral-neutral,4.86,3.32
980,occur,abstract-positive,neutral-neutral,6.26,1.84
981,offend,abstract-negative,neutral-neutral,3.29,1.68
982,offer,neutral-neutral,neutral-neutral,5.67,2.23
983,offset,neutral-neutral,neutral-neutral,4.79,2.75
984,oink,neutral-neutral,neutral-neutral,5.21,3.24
985,ooze,neutral-negative,neutral-neutral,3.57,4.0
986,open,neutral-positive,neutral-neutral,6.14,3.21
987,operate,neutral-neutral,neutral-neutral,5.37,3.0
988,opinionated,abstract-neutral,abstract-neutral,5.57,1.48
989,oppose,neutral-neutral,neutral-neutral,4.21,2.52
990,opt,neutral-neutral,neutral-neutral,4.85,2.37
991,organize,neutral-positive,neutral-neutral,6.75,2.72
992,ought,abstract-neutral,abstract-neutral,5.0,1.43
993,outbid,neutral-neutral,neutral-neutral,4.86,3.07
994,outdo,abstract-neutral,neutral-neutral,4.95,1.59
995,outgrow,neutral-neutral,neutral-neutral,4.4,2.88
996,outlive,neutral-neutral,neutral-neutral,5.52,2.15
997,outnumber,neutral-negative,neutral-neutral,3.86,2.5
998,outrank,neutral-neutral,neutral-neutral,4.4,2.36
999,outrun,neutral-positive,neutral-neutral,6.26,2.88
1000,outsmart,neutral-neutral,neutral-neutral,5.8,2.23
1001,outweigh,neutral-neutral,neutral-neutral,4.19,2.63
1002,outwit,abstract-neutral,neutral-neutral,5.3,1.97
1003,overcome,neutral-positive,neutral-neutral,6.81,2.28
1004,overdo,neutral-negative,neutral-neutral,3.61,2.19
1005,overestimate,abstract-neutral,neutral-neutral,5.33,1.7
1006,overhear,neutral-negative,neutral-neutral,3.89,2.4
1007,overlook,neutral-neutral,neutral-neutral,4.3,2.41
1008,overpower,neutral-neutral,neutral-neutral,4.14,2.59
1009,overreact,neutral-negative,neutral-neutral,3.59,2.11
1010,overrun,neutral-negative,neutral-neutral,3.14,2.68
1011,oversee,neutral-neutral,neutral-neutral,5.68,2.82
1012,overtake,neutral-negative,neutral-neutral,3.95,2.63
1013,overthrow,neutral-negative,neutral-neutral,3.71,2.35
1014,overwhelm,abstract-negative,abstract-neutral,3.3,1.42
1015,overwhelmed,abstract-negative,neutral-neutral,2.8,1.92
1016,overwrought,neutral-negative,neutral-neutral,3.52,2.28
1017,owe,neutral-negative,neutral-neutral,3.56,2.07
1018,pacify,neutral-neutral,neutral-neutral,5.67,2.04
1019,pack,neutral-neutral,neutral-neutral,5.55,3.83
1020,paint,concrete-neutral,concrete-neutral,5.74,4.79
1021,pamper,neutral-positive,neutral-positive,7.11,2.63
1022,paralyze,neutral-negative,neutral-neutral,2.52,3.41
1023,partake,neutral-neutral,neutral-neutral,5.79,2.19
1024,participate,neutral-neutral,neutral-neutral,5.5,2.59
1025,pass,neutral-neutral,neutral-neutral,5.73,2.71
1026,patronize,abstract-negative,neutral-neutral,3.48,1.79
1027,pave,concrete-neutral,neutral-neutral,5.61,4.03
1028,pay,neutral-positive,neutral-neutral,6.23,3.54
1029,peddle,concrete-neutral,neutral-neutral,4.89,4.04
1030,pee,concrete-neutral,concrete-neutral,4.5,4.72
1031,peel,concrete-neutral,concrete-neutral,4.68,4.61
1032,penetrate,neutral-neutral,neutral-neutral,5.71,3.5
1033,perceive,abstract-neutral,neutral-neutral,5.81,1.72
1034,perform,neutral-positive,neutral-neutral,6.48,3.07
1035,perish,neutral-negative,neutral-neutral,2.22,3.22
1036,permit,neutral-neutral,neutral-neutral,5.26,3.43
1037,persecute,neutral-negative,neutral-neutral,3.11,2.53
1038,persist,neutral-neutral,neutral-neutral,4.74,2.59
1039,persuade,neutral-neutral,neutral-neutral,5.67,2.07
1040,pester,neutral-negative,neutral-neutral,3.26,2.76
1041,pick,neutral-neutral,neutral-neutral,5.91,3.82
1042,pigheaded,neutral-negative,neutral-neutral,3.16,2.07
1043,pillage,neutral-negative,neutral-neutral,3.79,3.22
1044,pinpoint,neutral-neutral,neutral-neutral,5.27,2.54
1045,piss,concrete-negative,concrete-neutral,2.73,4.73
1046,pivot,neutral-neutral,neutral-neutral,4.95,3.72
1047,play,neutral-positive,neutral-positive,7.55,3.24
1048,plead,neutral-negative,neutral-neutral,3.26,2.59
1049,plop,neutral-neutral,neutral-neutral,5.5,3.48
1050,pluck,neutral-negative,neutral-neutral,3.9,4.0
1051,plummet,neutral-negative,neutral-neutral,3.95,3.12
1052,plunder,neutral-negative,neutral-neutral,4.0,3.11
1053,poke,concrete-neutral,neutral-neutral,4.14,4.22
1054,pollute,neutral-negative,neutral-negative,1.88,2.75
1055,ponder,neutral-neutral,neutral-neutral,5.65,2.24
1056,portray,neutral-neutral,neutral-neutral,5.35,2.18
1057,pose,neutral-neutral,neutral-neutral,5.63,3.33
1058,possess,neutral-neutral,neutral-neutral,4.67,2.6
1059,postpone,neutral-neutral,neutral-neutral,4.32,2.29
1060,pounce,neutral-neutral,neutral-neutral,4.67,3.66
1061,pour,concrete-neutral,neutral-neutral,5.16,4.14
1062,pout,neutral-negative,neutral-neutral,3.33,3.23
1063,praise,neutral-positive,neutral-positive,7.65,2.61
1064,pray,neutral-positive,neutral-neutral,6.57,3.21
1065,preach,neutral-neutral,neutral-neutral,4.15,3.37
1066,predict,abstract-positive,neutral-neutral,6.29,2.0
1067,prefer,abstract-neutral,neutral-neutral,5.62,1.62
1068,premed,neutral-neutral,neutral-neutral,4.6,3.28
1069,prepare,neutral-neutral,neutral-neutral,5.32,2.36
1070,prescribe,neutral-neutral,neutral-neutral,5.21,2.8
1071,preserve,neutral-neutral,neutral-neutral,4.9,2.57
1072,presume,abstract-negative,neutral-neutral,4.0,1.79
1073,pretend,neutral-neutral,neutral-neutral,4.62,2.11
1074,prevail,abstract-neutral,abstract-neutral,5.73,1.43
1075,prevent,neutral-neutral,neutral-neutral,5.42,2.34
1076,prioritize,neutral-neutral,neutral-neutral,5.95,2.33
1077,proceed,neutral-neutral,neutral-neutral,5.7,2.55
1078,proclaim,neutral-neutral,neutral-neutral,5.38,2.36
1079,procreate,neutral-neutral,neutral-neutral,5.33,2.93
1080,procure,neutral-neutral,neutral-neutral,5.42,2.23
1081,prod,neutral-neutral,neutral-neutral,4.65,3.77
1082,produce,neutral-positive,neutral-neutral,6.57,3.31
1083,profane,abstract-negative,neutral-neutral,2.47,1.75
1084,prohibit,abstract-neutral,neutral-neutral,4.29,1.93
1085,prolong,neutral-negative,neutral-neutral,3.89,2.04
1086,promise,neutral-positive,neutral-neutral,6.64,2.09
1087,promote,neutral-positive,neutral-neutral,6.55,2.26
1088,prompt,neutral-positive,neutral-neutral,6.33,2.25
1089,pronounce,neutral-neutral,neutral-neutral,5.61,2.63
1090,propose,neutral-positive,neutral-neutral,6.26,2.19
1091,prosecute,neutral-negative,neutral-neutral,3.15,2.44
1092,prosper,neutral-positive,neutral-positive,7.67,2.27
1093,protect,neutral-positive,neutral-neutral,6.83,2.86
1094,prove,abstract-neutral,neutral-neutral,6.0,1.83
1095,provide,neutral-positive,neutral-neutral,6.67,2.72
1096,provoke,neutral-negative,neutral-neutral,3.3,2.39
1097,pry,neutral-negative,neutral-neutral,3.57,3.0
1098,publish,neutral-neutral,neutral-neutral,5.91,3.26
1099,pucker,concrete-neutral,neutral-neutral,5.58,4.13
1100,puke,concrete-negative,concrete-negative,1.84,4.59
1101,pull,neutral-neutral,neutral-neutral,5.59,3.97
1102,punish,neutral-negative,neutral-neutral,2.86,2.66
1103,purge,neutral-negative,neutral-neutral,3.61,2.88
1104,purify,neutral-positive,neutral-neutral,6.95,2.35
1105,pursue,neutral-neutral,neutral-neutral,5.39,2.83
1106,push,concrete-neutral,neutral-neutral,5.39,4.21
1107,put,neutral-neutral,neutral-neutral,5.09,2.5
1108,qualify,abstract-positive,neutral-neutral,6.77,1.93
1109,quench,neutral-neutral,neutral-neutral,5.82,2.43
1110,quibble,neutral-neutral,neutral-neutral,4.05,2.29
1111,quit,neutral-negative,neutral-neutral,3.72,2.56
1112,quote,neutral-neutral,neutral-neutral,5.85,3.32
1113,radiate,neutral-positive,neutral-neutral,6.9,2.93
1114,raise,neutral-positive,neutral-positive,7.22,3.8
1115,rake,concrete-neutral,concrete-neutral,4.75,4.84
1116,ramble,neutral-neutral,neutral-neutral,4.32,2.54
1117,rationalize,abstract-neutral,neutral-neutral,5.47,1.52
1118,rattle,concrete-neutral,neutral-neutral,4.47,4.07
1119,ravage,neutral-negative,neutral-neutral,3.95,2.29
1120,rawhide,concrete-neutral,neutral-neutral,4.8,4.35
1121,reach,neutral-neutral,neutral-neutral,5.78,3.7
1122,react,neutral-neutral,neutral-neutral,5.15,2.55
1123,read,neutral-positive,neutral-neutral,6.73,3.56
1124,realize,neutral-positive,neutral-neutral,6.44,2.03
1125,reap,neutral-neutral,neutral-neutral,5.23,3.14
1126,rearrange,neutral-neutral,neutral-neutral,5.52,3.26
1127,reassign,neutral-neutral,neutral-neutral,4.75,2.38
1128,reassure,neutral-positive,neutral-neutral,6.55,2.29
1129,reboot,neutral-neutral,neutral-neutral,5.38,3.26
1130,reborn,neutral-neutral,neutral-neutral,5.59,2.14
1131,rebuild,neutral-positive,neutral-neutral,6.38,3.5
1132,recall,neutral-neutral,neutral-neutral,4.77,2.14
1133,recant,neutral-negative,neutral-neutral,3.89,2.03
1134,recap,neutral-neutral,neutral-neutral,5.33,2.48
1135,recapture,neutral-neutral,neutral-neutral,4.9,3.07
1136,receive,neutral-positive,neutral-positive,7.14,2.69
1137,recharge,neutral-positive,neutral-neutral,6.32,3.14
1138,recheck,neutral-neutral,neutral-neutral,4.95,2.08
1139,reciprocate,neutral-positive,neutral-neutral,6.6,2.15
1140,recite,neutral-neutral,neutral-neutral,5.45,3.93
1141,reckon,abstract-neutral,neutral-neutral,5.25,1.74
1142,reclaim,abstract-neutral,neutral-neutral,5.55,1.76
1143,recognize,neutral-positive,neutral-neutral,6.14,2.07
1144,recollect,abstract-neutral,neutral-neutral,5.05,1.9
1145,recommend,abstract-positive,neutral-neutral,6.52,1.74
1146,reconcile,abstract-positive,neutral-neutral,6.84,1.79
1147,reconfigure,neutral-neutral,neutral-neutral,4.85,2.93
1148,reconnect,neutral-positive,neutral-neutral,6.37,2.48
1149,reconsider,abstract-neutral,neutral-neutral,5.74,1.97
1150,reconstruct,neutral-neutral,neutral-neutral,5.7,3.2
1151,reconvene,neutral-neutral,neutral-neutral,4.95,2.7
1152,recount,neutral-neutral,neutral-neutral,4.89,2.26
1153,recover,neutral-positive,neutral-neutral,6.4,2.64
1154,recreate,neutral-neutral,neutral-neutral,6.0,2.41
1155,recruit,neutral-neutral,neutral-neutral,4.53,3.48
1156,rectify,neutral-neutral,neutral-neutral,5.6,2.08
1157,recycle,neutral-positive,neutral-neutral,6.14,2.97
1158,redecorate,neutral-positive,neutral-neutral,6.24,3.55
1159,redeem,neutral-neutral,neutral-neutral,5.95,2.24
1160,redesign,neutral-neutral,neutral-neutral,5.76,2.85
1161,redirect,abstract-neutral,neutral-neutral,4.28,1.88
1162,reduce,abstract-neutral,neutral-neutral,5.1,2.0
1163,reek,neutral-negative,neutral-neutral,2.32,3.0
1164,reestablish,neutral-positive,neutral-neutral,6.14,2.54
1165,refer,neutral-neutral,neutral-neutral,5.18,2.41
1166,refine,neutral-neutral,neutral-neutral,5.17,2.43
1167,reflect,neutral-positive,neutral-neutral,6.1,2.81
1168,refrain,neutral-neutral,neutral-neutral,5.3,2.61
1169,refresh,neutral-positive,neutral-neutral,6.62,2.63
1170,refuel,neutral-neutral,neutral-neutral,5.5,3.53
1171,refuse,neutral-negative,neutral-neutral,3.42,3.04
1172,refute,neutral-neutral,neutral-neutral,4.37,2.21
1173,regain,abstract-positive,neutral-neutral,6.25,1.79
1174,regenerate,neutral-neutral,neutral-neutral,5.76,2.63
1175,regret,abstract-negative,neutral-neutral,3.41,1.8
1176,regroup,neutral-neutral,neutral-neutral,4.7,2.41
1177,regulate,neutral-neutral,neutral-neutral,5.16,2.03
1178,rehabilitate,abstract-positive,neutral-neutral,6.32,1.76
1179,rehash,neutral-neutral,neutral-neutral,4.25,2.17
1180,rehearse,neutral-neutral,neutral-neutral,5.42,3.32
1181,reimburse,neutral-positive,neutral-neutral,6.24,2.63
1182,reinforce,neutral-neutral,neutral-neutral,5.53,2.32
1183,reinstate,abstract-neutral,neutral-neutral,5.11,1.9
1184,reiterate,neutral-neutral,neutral-neutral,4.9,2.48
1185,reject,neutral-negative,neutral-neutral,2.95,2.4
1186,rejected,neutral-negative,neutral-neutral,2.4,2.89
1187,rejoice,neutral-positive,neutral-positive,7.14,2.17
1188,rejoin,neutral-neutral,neutral-neutral,5.85,2.54
1189,rekindle,neutral-positive,neutral-neutral,6.19,2.36
1190,relate,abstract-positive,neutral-neutral,6.05,2.0
1191,relax,neutral-positive,neutral-positive,7.82,2.86
1192,release,neutral-positive,neutral-neutral,6.64,3.24
1193,relieve,neutral-positive,neutral-positive,7.25,2.47
1194,relinquish,neutral-negative,neutral-neutral,3.74,3.03
1195,relish,neutral-neutral,neutral-neutral,4.55,3.3
1196,relive,neutral-neutral,neutral-neutral,5.89,2.12
1197,reload,neutral-neutral,neutral-neutral,5.13,3.64
1198,relocate,neutral-neutral,neutral-neutral,4.05,2.76
1199,rely,abstract-neutral,neutral-neutral,5.76,1.93
1200,remain,abstract-neutral,neutral-neutral,5.68,1.96
1201,remake,neutral-neutral,neutral-neutral,4.53,2.93
1202,remarry,neutral-neutral,neutral-neutral,5.52,2.72
1203,remember,neutral-positive,neutral-neutral,6.5,2.41
1204,remind,neutral-neutral,neutral-neutral,4.81,2.19
1205,reminisce,neutral-positive,neutral-neutral,6.67,2.39
1206,remove,neutral-neutral,neutral-neutral,4.21,3.14
1207,render,neutral-neutral,neutral-neutral,4.86,2.14
1208,renegotiate,abstract-neutral,neutral-neutral,5.9,1.92
1209,renew,neutral-neutral,neutral-neutral,6.0,2.07
1210,renounce,abstract-neutral,neutral-neutral,4.26,1.62
1211,reopen,neutral-neutral,neutral-neutral,5.75,2.84
1212,reorganize,neutral-neutral,neutral-neutral,5.67,2.74
1213,repaint,concrete-neutral,neutral-neutral,4.62,4.08
1214,repair,neutral-neutral,neutral-neutral,4.89,3.32
1215,repay,neutral-neutral,neutral-neutral,5.18,2.52
1216,repeat,neutral-neutral,neutral-neutral,4.64,2.9
1217,repel,neutral-negative,neutral-neutral,3.67,3.0
1218,repent,abstract-neutral,neutral-neutral,4.4,1.96
1219,rephrase,neutral-neutral,neutral-neutral,5.0,2.17
1220,replace,neutral-neutral,neutral-neutral,5.56,3.0
1221,replenish,neutral-positive,neutral-neutral,6.9,2.18
1222,replicate,neutral-neutral,neutral-neutral,4.95,3.33
1223,reposition,neutral-neutral,neutral-neutral,5.05,3.21
1224,repossess,neutral-negative,neutral-neutral,3.0,2.77
1225,represent,neutral-neutral,neutral-neutral,5.43,2.12
1226,reproduce,neutral-neutral,neutral-neutral,5.63,3.48
1227,reprogram,neutral-neutral,neutral-neutral,5.52,2.57
1228,require,neutral-neutral,neutral-neutral,4.74,2.07
1229,reread,neutral-neutral,neutral-neutral,5.18,3.32
1230,reroute,neutral-negative,neutral-neutral,3.78,2.92
1231,reschedule,neutral-negative,neutral-neutral,3.72,2.61
1232,rescind,neutral-negative,neutral-neutral,3.81,2.57
1233,rescue,neutral-positive,neutral-positive,7.04,3.17
1234,resemble,neutral-neutral,neutral-neutral,5.9,2.19
1235,resent,neutral-negative,neutral-neutral,3.28,2.41
1236,reserved,neutral-neutral,neutral-neutral,5.63,2.04
1237,reset,neutral-neutral,neutral-neutral,4.65,3.0
1238,reside,neutral-neutral,neutral-neutral,5.57,3.19
1239,resign,neutral-neutral,neutral-neutral,4.17,2.25
1240,resist,neutral-negative,neutral-neutral,3.95,2.78
1241,resolve,abstract-neutral,neutral-neutral,5.85,1.96
1242,respond,neutral-neutral,neutral-neutral,5.71,2.64
1243,restart,neutral-neutral,neutral-neutral,4.4,2.92
1244,restock,neutral-neutral,neutral-neutral,4.84,3.75
1245,restore,neutral-neutral,neutral-neutral,5.86,2.79
1246,restrain,neutral-neutral,neutral-neutral,4.42,2.76
1247,restrict,neutral-negative,neutral-neutral,3.48,2.21
1248,resume,neutral-neutral,neutral-neutral,4.89,4.0
1249,resurrect,neutral-positive,neutral-neutral,6.41,2.64
1250,resuscitate,neutral-neutral,neutral-neutral,5.65,3.21
1251,retain,neutral-positive,neutral-neutral,6.25,2.32
1252,retake,neutral-neutral,neutral-neutral,4.05,2.57
1253,retaliate,neutral-negative,neutral-neutral,3.55,2.25
1254,rethink,neutral-neutral,neutral-neutral,5.33,2.17
1255,retire,neutral-positive,neutral-neutral,6.4,3.11
1256,retrace,neutral-neutral,neutral-neutral,4.75,2.82
1257,retract,neutral-neutral,neutral-neutral,5.38,2.42
1258,retrieve,neutral-positive,neutral-neutral,6.16,3.32
1259,return,neutral-neutral,neutral-neutral,5.95,2.97
1260,reunite,neutral-positive,neutral-neutral,6.86,2.86
1261,reveal,neutral-neutral,neutral-neutral,5.86,2.79
1262,revel,abstract-neutral,neutral-neutral,5.4,1.69
1263,reverse,neutral-neutral,neutral-neutral,5.2,3.38
1264,revert,abstract-neutral,neutral-neutral,4.95,2.0
1265,revise,neutral-neutral,neutral-neutral,5.26,2.33
1266,revisit,neutral-neutral,neutral-neutral,5.81,2.56
1267,revive,neutral-positive,neutral-neutral,6.53,3.13
1268,revoke,neutral-negative,neutral-neutral,2.95,2.85
1269,revolutionize,abstract-neutral,neutral-neutral,5.65,1.85
1270,revolve,neutral-positive,neutral-neutral,6.37,3.44
1271,rewind,neutral-neutral,neutral-neutral,5.58,3.36
1272,rewire,neutral-neutral,neutral-neutral,5.67,3.41
1273,rewrite,neutral-neutral,neutral-neutral,4.2,3.55
1274,rid,neutral-negative,neutral-neutral,3.67,2.13
1275,rinse,concrete-neutral,neutral-neutral,5.47,4.1
1276,rip,neutral-negative,neutral-neutral,3.28,3.79
1277,rise,concrete-neutral,neutral-neutral,5.73,4.04
1278,roam,neutral-neutral,neutral-neutral,4.89,2.85
1279,rob,neutral-negative,neutral-neutral,2.1,3.48
1280,roll,concrete-neutral,neutral-neutral,5.72,4.16
1281,rot,neutral-negative,neutral-neutral,2.65,3.96
1282,rotate,neutral-neutral,neutral-neutral,5.24,3.45
1283,rouse,neutral-neutral,neutral-neutral,5.24,2.56
1284,rub,concrete-positive,neutral-neutral,6.63,4.33
1285,ruffle,neutral-neutral,neutral-neutral,5.19,3.75
1286,ruin,neutral-negative,neutral-neutral,2.32,2.59
1287,rummage,neutral-neutral,neutral-neutral,4.95,2.66
1288,run,concrete-positive,neutral-neutral,6.41,4.31
1289,running,concrete-positive,neutral-neutral,6.53,4.27
1290,rustle,neutral-neutral,neutral-neutral,4.16,2.96
1291,sabotage,neutral-negative,neutral-neutral,2.0,2.77
1292,safeguard,neutral-neutral,neutral-neutral,5.5,2.21
1293,sag,neutral-negative,neutral-neutral,3.58,3.27
1294,sail,concrete-positive,concrete-neutral,6.84,4.59
1295,salute,concrete-positive,neutral-neutral,6.22,4.48
1296,salvage,neutral-neutral,neutral-neutral,5.16,3.21
1297,sanction,neutral-neutral,neutral-neutral,4.43,2.3
1298,satisfy,neutral-positive,neutral-positive,7.09,2.04
1299,save,neutral-positive,neutral-positive,7.26,2.42
1300,savor,neutral-positive,neutral-neutral,6.7,2.48
1301,saw,concrete-neutral,neutral-neutral,4.16,4.46
1302,say,neutral-neutral,neutral-neutral,5.91,2.58
1303,scalding,neutral-negative,neutral-neutral,3.02,3.07
1304,scare,neutral-negative,neutral-neutral,3.55,2.96
1305,scatter,neutral-negative,neutral-neutral,3.9,3.55
1306,scoff,neutral-negative,neutral-neutral,3.47,3.15
1307,scold,neutral-negative,neutral-neutral,2.77,3.07
1308,scoot,neutral-neutral,neutral-neutral,5.74,2.89
1309,scorch,concrete-negative,neutral-neutral,3.45,4.08
1310,scorching,neutral-negative,neutral-neutral,3.54,3.29
1311,scour,neutral-neutral,neutral-neutral,4.89,3.42
1312,scram,neutral-negative,neutral-neutral,3.57,3.04
1313,scramble,neutral-neutral,neutral-neutral,5.21,3.31
1314,scrape,concrete-negative,neutral-neutral,3.74,4.15
1315,scratch,concrete-neutral,neutral-neutral,4.95,4.16
1316,scream,concrete-negative,neutral-neutral,3.02,4.32
1317,screw,concrete-neutral,concrete-neutral,5.24,4.81
1318,scribble,concrete-neutral,neutral-neutral,5.21,4.1
1319,scrounge,neutral-negative,neutral-neutral,3.67,3.08
1320,scrub,neutral-neutral,neutral-neutral,4.53,3.86
1321,scurry,neutral-negative,neutral-neutral,2.95,3.67
1322,scuttle,neutral-neutral,neutral-neutral,4.5,3.35
1323,seal,concrete-neutral,concrete-neutral,5.0,4.63
1324,secure,neutral-positive,neutral-positive,7.08,2.69
1325,seduce,neutral-positive,neutral-neutral,6.74,2.18
1326,see,neutral-positive,neutral-neutral,6.27,3.21
1327,seek,neutral-positive,neutral-neutral,6.25,2.68
1328,seem,abstract-neutral,neutral-neutral,5.45,1.75
1329,seize,neutral-negative,neutral-neutral,3.79,3.97
1330,select,neutral-positive,neutral-neutral,6.1,2.48
1331,sell,neutral-neutral,neutral-neutral,5.33,3.35
1332,send,neutral-positive,neutral-neutral,6.18,2.7
1333,serve,neutral-neutral,neutral-neutral,5.36,3.78
1334,set,neutral-neutral,neutral-neutral,5.23,3.41
1335,settle,neutral-neutral,neutral-neutral,5.62,2.31
1336,sever,neutral-negative,neutral-neutral,3.52,4.0
1337,sew,neutral-neutral,neutral-neutral,5.67,3.93
1338,shag,neutral-neutral,neutral-neutral,5.38,3.15
1339,shake,concrete-neutral,neutral-neutral,4.59,4.07
1340,shall,neutral-neutral,neutral-neutral,5.86,2.33
1341,shamed,neutral-negative,neutral-neutral,2.51,2.18
1342,share,neutral-positive,neutral-neutral,6.22,2.96
1343,sharpen,neutral-neutral,neutral-neutral,5.67,3.72
1344,shatter,neutral-negative,neutral-neutral,3.44,3.96
1345,shave,concrete-neutral,neutral-neutral,4.9,4.23
1346,shear,neutral-neutral,neutral-neutral,5.21,3.37
1347,shed,concrete-neutral,concrete-neutral,5.37,4.55
1348,shimmer,neutral-positive,neutral-neutral,6.95,3.28
1349,shine,neutral-positive,neutral-positive,7.27,3.85
1350,shiver,neutral-negative,neutral-neutral,3.61,3.88
1351,shoot,neutral-negative,neutral-neutral,3.5,3.97
1352,shorten,neutral-neutral,neutral-neutral,5.05,3.11
1353,shout,concrete-neutral,neutral-neutral,5.0,4.17
1354,shove,concrete-negative,neutral-neutral,3.1,4.04
1355,show,neutral-neutral,neutral-neutral,5.91,3.97
1356,showoff,neutral-negative,neutral-neutral,4.0,2.71
1357,shrivel,neutral-neutral,neutral-neutral,4.21,3.57
1358,shrug,concrete-neutral,neutral-neutral,4.71,4.21
1359,shudder,neutral-neutral,neutral-neutral,4.1,3.41
1360,shuffle,neutral-neutral,neutral-neutral,4.72,3.83
1361,shun,neutral-negative,neutral-neutral,2.42,2.58
1362,shut,neutral-neutral,neutral-neutral,4.5,3.38
1363,sidewinder,neutral-neutral,neutral-neutral,4.26,3.43
1364,sift,neutral-neutral,neutral-neutral,5.09,3.79
1365,sign,concrete-neutral,concrete-neutral,5.27,4.62
1366,signify,abstract-neutral,neutral-neutral,5.16,1.73
1367,simmer,neutral-neutral,neutral-neutral,5.86,3.88
1368,simplify,abstract-positive,neutral-neutral,6.35,1.89
1369,simulate,neutral-neutral,neutral-neutral,5.76,2.31
1370,sing,concrete-positive,neutral-positive,7.5,4.34
1371,sit,concrete-neutral,concrete-neutral,5.82,4.8
1372,skate,concrete-positive,concrete-neutral,6.74,4.56
1373,skedaddle,neutral-neutral,neutral-neutral,5.24,3.04
1374,skim,neutral-neutral,neutral-neutral,4.67,3.76
1375,skip,concrete-neutral,neutral-neutral,4.76,4.07
1376,skittish,neutral-neutral,neutral-neutral,4.27,2.11
1377,slam,neutral-neutral,neutral-neutral,4.79,4.0
1378,slap,concrete-negative,concrete-neutral,2.95,4.72
1379,slash,neutral-neutral,neutral-neutral,4.85,3.52
1380,slay,neutral-negative,neutral-neutral,2.63,3.1
1381,sleep,concrete-positive,neutral-positive,7.22,4.44
1382,slide,concrete-neutral,neutral-neutral,5.71,4.48
1383,slip,concrete-neutral,neutral-neutral,4.33,4.1
1384,slit,neutral-neutral,neutral-neutral,4.26,3.68
1385,slouch,neutral-negative,neutral-neutral,3.85,3.56
1386,smack,concrete-negative,concrete-neutral,3.95,4.67
1387,smarten,abstract-positive,neutral-neutral,6.22,1.8
1388,smash,neutral-neutral,neutral-neutral,4.68,3.79
1389,smell,neutral-positive,neutral-neutral,6.39,3.7
1390,smite,neutral-negative,neutral-neutral,3.95,2.31
1391,smoke,concrete-negative,concrete-neutral,3.44,4.96
1392,smooch,concrete-positive,neutral-positive,7.35,4.21
1393,smother,neutral-negative,neutral-neutral,2.68,3.1
1394,smuggle,neutral-negative,neutral-neutral,3.89,3.0
1395,snag,neutral-neutral,neutral-neutral,4.09,3.62
1396,snap,concrete-neutral,neutral-neutral,4.42,4.1
1397,snatch,neutral-neutral,neutral-neutral,4.64,3.86
1398,sneak,neutral-neutral,neutral-neutral,4.33,2.82
1399,sneeze,concrete-negative,neutral-neutral,4.0,4.03
1400,sniff,concrete-neutral,neutral-neutral,5.1,4.17
1401,snip,neutral-neutral,neutral-neutral,4.32,3.68
1402,snoop,neutral-negative,neutral-neutral,3.45,3.0
1403,snooze,neutral-positive,neutral-neutral,6.36,3.31
1404,snore,concrete-negative,neutral-neutral,3.0,4.39
1405,snuff,concrete-negative,neutral-neutral,3.58,4.04
1406,snuggle,neutral-positive,neutral-positive,7.63,3.52
1407,soak,concrete-positive,neutral-neutral,6.05,4.21
1408,soar,neutral-positive,neutral-neutral,6.6,3.67
1409,socialize,neutral-neutral,neutral-neutral,5.95,2.41
1410,soften,neutral-positive,neutral-neutral,6.57,2.57
1411,solicit,neutral-negative,neutral-neutral,3.59,2.83
1412,solve,neutral-positive,neutral-neutral,6.3,2.1
1413,soothe,neutral-positive,neutral-neutral,6.63,2.14
1414,sound,neutral-positive,neutral-neutral,6.45,3.7
1415,sow,concrete-neutral,neutral-neutral,5.11,4.04
1416,spank,concrete-negative,neutral-neutral,3.76,4.21
1417,spar,neutral-neutral,neutral-neutral,5.43,3.52
1418,spare,neutral-neutral,neutral-neutral,5.57,3.48
1419,speak,neutral-neutral,neutral-neutral,5.91,3.7
